date,indicator,value,series_id
2020-01-01,한국 소비자물가지수,100.09,901Y009_0
2020-02-01,한국 소비자물가지수,100.16,901Y009_0
2020-03-01,한국 소비자물가지수,99.94,901Y009_0
2020-04-01,한국 소비자물가지수,99.5,901Y009_0
2020-05-01,한국 소비자물가지수,99.44,901Y009_0
2020-06-01,한국 소비자물가지수,99.71,901Y009_0
2020-07-01,한국 소비자물가지수,99.63,901Y009_0
2020-08-01,한국 소비자물가지수,100.19,901Y009_0
2020-09-01,한국 소비자물가지수,100.74,901Y009_0
2020-10-01,한국 소비자물가지수,100.18,901Y009_0
2020-11-01,한국 소비자물가지수,100.09,901Y009_0
2020-12-01,한국 소비자물가지수,100.33,901Y009_0
2021-01-01,한국 소비자물가지수,101.04,901Y009_0
2021-02-01,한국 소비자물가지수,101.58,901Y009_0
2021-03-01,한국 소비자물가지수,101.84,901Y009_0
2021-04-01,한국 소비자물가지수,101.98,901Y009_0
2021-05-01,한국 소비자물가지수,102.05,901Y009_0
2021-06-01,한국 소비자물가지수,102.05,901Y009_0
2021-07-01,한국 소비자물가지수,102.26,901Y009_0
2021-08-01,한국 소비자물가지수,102.75,901Y009_0
2021-09-01,한국 소비자물가지수,103.17,901Y009_0
2021-10-01,한국 소비자물가지수,103.35,901Y009_0
2021-11-01,한국 소비자물가지수,103.87,901Y009_0
2021-12-01,한국 소비자물가지수,104.04,901Y009_0
2022-01-01,한국 소비자물가지수,104.85,901Y009_0
2022-02-01,한국 소비자물가지수,105.42,901Y009_0
2022-03-01,한국 소비자물가지수,106.1,901Y009_0
2022-04-01,한국 소비자물가지수,106.83,901Y009_0
2022-05-01,한국 소비자물가지수,107.5,901Y009_0
2022-06-01,한국 소비자물가지수,108.21,901Y009_0
2022-07-01,한국 소비자물가지수,108.73,901Y009_0
2022-08-01,한국 소비자물가지수,108.63,901Y009_0
2022-09-01,한국 소비자물가지수,108.82,901Y009_0
2022-10-01,한국 소비자물가지수,109.16,901Y009_0
2022-11-01,한국 소비자물가지수,109.07,901Y009_0
2022-12-01,한국 소비자물가지수,109.26,901Y009_0
2023-01-01,한국 소비자물가지수,110.07,901Y009_0
2023-02-01,한국 소비자물가지수,110.33,901Y009_0
2023-03-01,한국 소비자물가지수,110.52,901Y009_0
2023-04-01,한국 소비자물가지수,110.77,901Y009_0
2023-05-01,한국 소비자물가지수,111.13,901Y009_0
2023-06-01,한국 소비자물가지수,111.16,901Y009_0
2023-07-01,한국 소비자물가지수,111.29,901Y009_0
2023-08-01,한국 소비자물가지수,112.28,901Y009_0
2023-09-01,한국 소비자물가지수,112.85,901Y009_0
2023-10-01,한국 소비자물가지수,113.27,901Y009_0
2023-11-01,한국 소비자물가지수,112.68,901Y009_0
2023-12-01,한국 소비자물가지수,112.73,901Y009_0
2024-01-01,한국 소비자물가지수,113.17,901Y009_0
2024-02-01,한국 소비자물가지수,113.78,901Y009_0
2024-03-01,한국 소비자물가지수,113.95,901Y009_0
2024-04-01,한국 소비자물가지수,114.01,901Y009_0
2024-05-01,한국 소비자물가지수,114.1,901Y009_0
2024-06-01,한국 소비자물가지수,113.84,901Y009_0
2024-07-01,한국 소비자물가지수,114.13,901Y009_0
2024-08-01,한국 소비자물가지수,114.54,901Y009_0
2024-09-01,한국 소비자물가지수,114.65,901Y009_0
2024-10-01,한국 소비자물가지수,114.69,901Y009_0
2024-11-01,한국 소비자물가지수,114.4,901Y009_0
2024-12-01,한국 소비자물가지수,114.91,901Y009_0
2025-01-01,한국 소비자물가지수,115.71,901Y009_0
2025-02-01,한국 소비자물가지수,116.08,901Y009_0
2025-03-01,한국 소비자물가지수,116.29,901Y009_0
2025-04-01,한국 소비자물가지수,116.38,901Y009_0
2025-05-01,한국 소비자물가지수,116.27,901Y009_0
2025-06-01,한국 소비자물가지수,116.31,901Y009_0
2025-07-01,한국 소비자물가지수,116.52,901Y009_0
2025-08-01,한국 소비자물가지수,116.45,901Y009_0
2025-09-01,한국 소비자물가지수,117.06,901Y009_0
2025-10-01,한국 소비자물가지수,117.42,901Y009_0
2025-11-01,한국 소비자물가지수,117.2,901Y009_0
2020-01-01,한국 CPI 특수분류,100.09,901Y010_00
2020-02-01,한국 CPI 특수분류,100.16,901Y010_00
2020-03-01,한국 CPI 특수분류,99.94,901Y010_00
2020-04-01,한국 CPI 특수분류,99.5,901Y010_00
2020-05-01,한국 CPI 특수분류,99.44,901Y010_00
2020-06-01,한국 CPI 특수분류,99.71,901Y010_00
2020-07-01,한국 CPI 특수분류,99.63,901Y010_00
2020-08-01,한국 CPI 특수분류,100.19,901Y010_00
2020-09-01,한국 CPI 특수분류,100.74,901Y010_00
2020-10-01,한국 CPI 특수분류,100.18,901Y010_00
2020-11-01,한국 CPI 특수분류,100.09,901Y010_00
2020-12-01,한국 CPI 특수분류,100.33,901Y010_00
2021-01-01,한국 CPI 특수분류,101.04,901Y010_00
2021-02-01,한국 CPI 특수분류,101.58,901Y010_00
